CH_1,CH_2
Elizabeth Stevens,Rachel
Carl (Rachel's date),Rachel
Joanna,Chandler
Althea's husband,Judy Geller
Aunt Millie,Emma Geller-Greene
Cassie,Eric
Mona,Elizabeth Stevens
Sonya,Joey
Mark Robinson,Mrs. Robinson
Leonard Greene,Joey
Mr. Wheeler,Rachel
Joshua Burgin,Joey
Jean-Claude Van Damme,Rachel
Cassie,Ben Geller
Frank Buffay Jr.,Rachel
Ugly Naked Guy,Phoebe
Rick (Aurora's husband),Andrew
Frances,Phoebe
Mary Ellen Jenkins,Jen
Nora Tyler Bing,Monica
Frank Jr. Jr.,Dan
Buddy Doyle,Monica
Amanda Buffamonteezi,Chandler
Judy Geller,Cookie
Franny,Paul the Wine Guy
Mr. Treeger,Mr. Heckles
Joan Tedeschi,Ross
Leslie Buffay,The Triplets
Anita Altman,Monica
Dina,Gloria Tribbiani
The Tanning Salon Guy,Ross
Cousin Frannie,Chandler
Malcolm,Phoebe
The Triplets,Rachel
Tony (Allesandro's employee),Monica
Nora Tyler Bing,Chandler
Dr. Gettleman's daughter,Rachel
Nancy,Chandler
Isabella Rossellini,Ross
Cousin Frannie,Emma Geller-Greene
Emilio,Tony
Josh,Monica
Althea,Aunt Lillian
Jasmine,Chloe
Carl (bully),Dan
Joey Tribbiani Sr.,Nonnie
Judy Geller,Erica
Megan Bailey,Rachel
Jen,Rachel
Jeffrey,Monica
Mary-Therese Tribbiani,Mary-Angela
Sid Goralnik,Rachel
Alice Knight,Frank Jr. Jr.
Frances,Mike Hannigan
Tilly,Chandler
Robert,Bob
Althea's husband,Monica
Timothy Burke,Timmy
Uncle Murray,Emily Waltham
Mrs. Buffay (Frank Sr.'s second wife),Phoebe
Erica Bing,Ross
Grandma Geller,Judy Geller
The Kids,Rachel
Terry,Joey
Amanda (Ross' date),Amanda Buffamonteezi
Dan,Monica
Molly,Joey
Josh,Amanda (Ross' date)
Amanda Buffamonteezi,Bob
Michelle Burke,Richard Burke
Chandler Buffay,Rachel
Julie,Phoebe
Unnamed Season 7 Characters,Nurse
Amy Greene,Jill Greene
Dr. Gettleman,Monica
Charla Nichols,Sarah Tuttle
Mrs Burkart,Phoebe
Gavin Mitchell,Monica
Sharon Majeski,Rachel
Ursula Buffay,Leslie
Tina,Dina
Tribbiani Sisters,Chandler
Alan,Monica
Gunther,Chandler
Ta-Taka-Ki-Kek,Will Colbert
Melissa Warburton,Phoebe
Barbara Burke,Ross
Kate Miller,Katie
Marshall Townend,Kate Miller
Emily Waltham,Phoebe
Bitsy Hannigan,Mike Hannigan's brother
Aunt Liddy,Emma Geller-Greene
Kate Miller,Jen
Bobby Corso,Joey
Dr. Wiener,Rachel
Uncle Murray,Chandler
Amanda (Ross' date),Tommy
Gary Litman,Janice Litman-Goralnik
Jade,Ross
Sidney Marks,Joey
Dr. Roger,Monica
Rick Sanoven,Monica
Fun Bobby,Chandler
Erica Bing,Charles Bing
Kristen Leigh,Marcel
Dana Keystone,Joey
Gina Tribbiani,Nonnie
Russ,Tom
Uncle Dan,Rachel
Barry Farber,Joey
Erica,Rachel
Kara,Joey
Nina Bookbinder,Chandler
Melissa Warburton,Joey
Timmy,Tommy
The Triplets,Frank Buffay Jr.
Amanda (Ross' date),Monica
Tim (Season 3),Joey
Jill Greene,Sandra Greene
Emma Geller-Greene,Carol Willick
Grandma Geller,Monica
Amanda Buffamonteezi,Phoebe
