From,To
Ta-Taka-Ki-Kek,Ross
Aunt Cheryl,Cheryl
Tim (Season 3),Monica
Mark Robinson,Robinson Twins
Nancy Oberblau,Nancy
Cousin Frannie,Stu
Joanna,Rachel
Marie,Allesandro
Andrew,Ethan
Ben Geller,Erica
Cailin,Laura
Elizabeth Stevens,Joey
Unnamed Season 7 Characters,Michelle
Ms. Stevens,Stevens siblings' father
Phoebe Abbott,Monica
Mary-Therese Tribbiani,Mary
Mr. Wheeler,Joey
Mark Robinson,Ross
Sarah Tuttle,Stu
Earl,Jason
Mr. Heckles,Monica
Mark Robinson's niece,Mrs. Robinson
Emily Waltham,Earl
Marcel,Fake Monica
Cheryl,Monica
Elizabeth Stevens,Paul Stevens
Silvia,Ursula Buffay
Aunt Lisa,Judy Geller
Sandra Greene,Ugly Naked Guy
Kyle Lowder,Joey
Isabella Rossellini,Monica
Unnamed Season 1 Characters,Monica
Sergei,Phoebe
Gina Tribbiani,Tina
Gloria Tribbiani,Tina
Isaac,Phoebe
Aunt Lillian,Judy Geller
Jeanine,Ross
Leslie Buffay,Rachel
Bob,Joey
Buddy Doyle,Rachel
Stephen Waltham,Ross
Mona,Emma Geller-Greene
Ginger,Phoebe
Jill Greene,Leonard Greene
Mark Robinson,Lauren
Aunt Millie,Ross
Nurse,Susan Bunch
Ben Geller,Joey
Sophie,Ross
Tina,Chandler
Pete Becker,Ross
Mrs. K.,Sandra Greene
Unidentified Phoebe Buffay fan,Joey
Mrs. Stevens,Stevens siblings' father
Ursula Buffay,Jamie
Cathy,Katie
Gavin Mitchell,Ross
Kori Weston,Ross
Owen,Monica
Pizza Guy,Monica
Sandy,Ross
Tina,Tribbiani Sisters
Hootie and the Blowfish,Chandler
Mark Robinson,Monica
Tabitha,Phoebe
Benjamin Hobart,Ross
Jean-Claude Van Damme,Phoebe
Phoebe's stepfather,Ursula Buffay
The Handyman,Rachel
Rhonda,Ross
Emma Geller-Greene,Judy Geller
Dan,Rachel
Nonna,Nonnie
Robert,Bob
Amanda Buffamonteezi,Joey
Gloria Tribbiani,Mary
Ginger,Monica
Jake,Joey
Alan,Joey
Tomas,Rachel
Megan Bailey,Phoebe
Sid Goralnik,Chandler
Aunt Sylvia,Monica
Walter,Chandler
Dina,Mary-Angela
Jack Geller,Joey
Charlie Wheeler,Mona
Dr. Harad,Ross
Sophie,Laura
The Interviewer,Joey
Luisa Gianetti,Monica
Grandma Geller,Eric
Joey Tribbiani Sr.,Ronni Rapalono
Allesandro,Monica
Gavin Mitchell,Lauren
Huggsy,Ross
Tag Jones,Rachel
Althea's husband,Eric
Don,Phoebe
Sarah,Sarah Tuttle
Dr. Oberman,Carol Willick
Cathy,Joey
Carl (bully),Gunther
Lily Buffay,Phoebe Abbott
Chip Matthews,Rachel
Joshua Burgin,Chandler
Tim (Season 3),Tom
Carl (Rachel's date),Tommy
Don,Allesandro
Emma Geller-Greene,Gavin
Sandra Greene,Ross
Unnamed Season 7 Characters,Sarah
Mr. Zelner,Lauren
Uncle Murray,Erica Bing
"Roy ""Goodbody""",Phoebe
Nick,Rachel
Carlos,Allesandro
Ben Geller,Judy Geller
Shelly,Nancy
Barbara Burke,Carol Willick
Bobby Rush,Robert
Kip,Joey
Gina Tribbiani,Cookie
Lowell (mugger),Chandler
Mrs. Braverman,Rachel
Mackenzie,Chandler
Chandler,Chandler Buffay
Janice Litman-Goralnik,Sid Goralnik
Precious,Mike Hannigan
Amy Greene,Emma Geller-Greene
Frank Buffay Jr.,Phoebe Abbott
Kyle,David
Julio (cat),Joey
Buddy Doyle,Dan
Leonard Greene,Chandler
Barbara Burke,Michelle Burke
Andrea Waltham,Judy Geller
Mike Hannigan's brother,Theodore Hannigan
Denise,Ross
Mona,Allesandro
Charlie Wheeler,Bill
Cassie,Eric
Kim,Ralph Lauren
Erica Bing,Monica
Kate Miller,Katie
Jill Greene,Monica
Michelle,Chandler
Erica,Rachel
Sandra Greene,Monica
Colleen,Phoebe
Cousin Frannie,Carol Willick
Schnoodle,Phoebe
Isabella Rossellini,Alice Knight
Duncan,Mary
Nora Tyler Bing,Dennis Phillips
Megan Bailey,Jen
Joshua Burgin's ex-wife,Mrs. Burgin
Nurse Sizemore,Nurse
Dennis Phillips,Chandler
Uncle Murray,Chandler
Ugly Naked Guy,Rachel
The Kids,Erica
Vince,Ross
Judy Geller,Ross
Gary Litman,Mr. Heckles
David,Joey
Mr. Treeger,Mr. Heckles
Ross Zelner,Ross
Mona,Julie
Aunt Iris,Chandler
Aunt Cheryl,Althea
Ms. Stevens,Ross
Michael,Mike Hannigan
Rick Sanoven,Monica
Gunther,Emily Waltham
Kate Miller,Joey
The Housekeeper,Phoebe
Althea's husband,Judy Geller
Caroline Duffy,Joey
Janice Litman-Goralnik,Ross
Lydia,Roy
Charles Bing,Monica
Dr. Franzblau,Ben Geller
Marcel,Rachel
Aunt Lisa,Ben Geller
Gunther,Monica
Amy Welsh,Rachel
Nonna,Mary-Angela
Sandra Greene's father,Jill Greene
The Housekeeper,Emily Waltham
Aunt Liddy,Emma Geller-Greene
Ursula Buffay,Gunther
Dr. Robert Bobby,Bob
Tina,Mary
Rick (Aurora's husband),Chandler
Barbara Burke,Rachel
Hayley,Joey
Ross Zelner,Lauren
Stuart,Erica
The Kids,Joey
Ursula Buffay,Joey
Ethan,Young Ethan
Frank Buffay Sr.,Phoebe Abbott
Mike Hannigan's brother,Mike Hannigan's sister
Mrs. Burnett,Joey
Marc Coreger,Mark Robinson
Rick Sanoven,Jason
Carol Willick,Phoebe
Amanda (Ross' date),Tommy
Amy Greene,Ross
Ned Morse,Ross
Marsha,Carol Willick
The Dry Cleaner's Wife,Joey
Krista,Dan
Paul Stevens,Joey
Elizabeth Stevens,Leonard Greene
Dr. Ledbetter,Michael
Mrs. Stevens,Ross
Cassie,Judy Geller
Ned Morse,Stu
Cookie,Phoebe
Frank Buffay Jr.,Chandler
Estelle Leonard,Rachel
Cailin,Rachel
Janice Litman-Goralnik,Monica
Gary,Monica
Carol Willick,Emily Waltham
Mitzi,Nurse
Larry,Phoebe
Aunt Sylvia,Uncle Freddie
Sandra Greene's father,Amy Greene
Aunt Lisa,Ross
Nora Tyler Bing,Monica
Frances,Ursula Buffay
Carol Willick,Monica
Erika Ford,Ross
George Stephanopoulos,Rachel
Cousin Frannie,Rachel
Ta-Taka-Ki-Kek,Rachel
Dina,Rachel
Cecilia Monroe,Monica
Timmy,Phoebe
Stu,Joey
Judy Geller,Fake Monica
Julie,Phoebe
Aunt Marilyn,Ross
Brenda,Monica
Eric,Chandler
Marjorie,Joey
Mr. Bunch,Joey
Marshall Townend,Marsha
Erin,Joey
Mark Robinson,Nancy (Bloomingdale's Employee)
Mike Hannigan's brother,Mike Hannigan's ex-wife
Emma Geller-Greene,Ross
Wayne,Ross
Russ,Monica
The Zoo Employee,Dan
